稿件标题,UP主名称,稿件URL,UP主粉丝量（周期内日均粉丝量）,新增播放量,新增互动量,互动率（新增互动量/新增播放量）,时间段
只是眼泪滴到屏幕上，我才反应过来,噗多鱼,https://www.bilibili.com/video/BV174QFBxEk8,44531,111431,6495,5.83%,2026-03-30 ~ 2026-04-12
我们和小黑都没招了,糯米粑的光遇日记,https://www.bilibili.com/video/BV1ngSfBsEEv,47153,109866,15860,14.44%,2026-03-30 ~ 2026-04-12
进来看粉色大伞！,腿腿不串线,https://www.bilibili.com/video/BV1F6XDBCEkA,101677,99298,3986,4.01%,2026-03-30 ~ 2026-04-12
坏了，被我玩到恋遇了,光遇sky许愿,https://www.bilibili.com/video/BV16E9cBqETj,163497,99048,8075,8.15%,2026-03-30 ~ 2026-04-12
新剧预告：就你癞蛤蟆想吃天鹅肉是吧？我第一个不同意！,光遇sky许愿,https://www.bilibili.com/video/BV1TuDEBoE9f,164355,96112,13073,13.60%,2026-03-30 ~ 2026-04-12
所以这期原来是大公鸡的辛酸感情史吗？,sky光遇阿渔,https://www.bilibili.com/video/BV13HAzzpEBs,207839,93539,7097,7.59%,2026-03-30 ~ 2026-04-12
光遇集体复刻全攻略⚡️先祖位置，兑换推荐，别错过必换物品！,一块融化的冰,https://www.bilibili.com/video/BV1niXjB7EvA,195320,93464,8702,9.31%,2026-03-30 ~ 2026-04-12
鼠盖魇善鼓琴，襟襟善听,Sky_魇,https://www.bilibili.com/video/BV1KrSSBGEUN,114322,90783,8547,9.41%,2026-03-30 ~ 2026-04-12
全球知名的中国游戏制作人，却在国内被骂是汉奸,齐柏林废宅,https://www.bilibili.com/video/BV1akcDzSEbr,19144,84386,4617,5.47%,2026-03-30 ~ 2026-04-12
^^^^,小光有点帅,https://www.bilibili.com/video/BV1fPXrBLEvh,41250,82516,19448,23.57%,2026-03-30 ~ 2026-04-12
养无翼的一生还有救吗？,sky格林,https://www.bilibili.com/video/BV1Zf9MBpEhZ,13043,78691,3280,4.17%,2026-03-30 ~ 2026-04-12
这样够有安全感了吗？,网易游戏,https://www.bilibili.com/video/BV1BBw4zFEAi,885582,77876,11973,15.37%,2026-03-30 ~ 2026-04-12
游戏中的老玩家是这样的？！,杨乐羊,https://www.bilibili.com/video/BV1r5X4BGEA1,501,74669,2903,3.89%,2026-03-30 ~ 2026-04-12
老板，你怎么！（yc不知,一日歌-,https://www.bilibili.com/video/BV1ATCgBrEDY,3578,71474,8791,12.30%,2026-03-30 ~ 2026-04-12
我不要磕这个！我要磕那个！！！,Sky_魇,https://www.bilibili.com/video/BV15YXMB7ERN,113970,70736,5680,8.03%,2026-03-30 ~ 2026-04-12
get光遇目前增高效果最佳的鞋子！,腿腿不串线,https://www.bilibili.com/video/BV1sscFzFEi3,101677,70615,400,0.57%,2026-03-30 ~ 2026-04-12
【教程】用【书樱】的方式打开《喜鹊谋杀案》,Sky暖秋,https://www.bilibili.com/video/BV1oYDrBBEqg,1927,70538,10602,15.03%,2026-03-30 ~ 2026-04-12
os：养儿防老宣传片,Sky_魇,https://www.bilibili.com/video/BV19wXyB5E5s,114025,69591,8204,11.79%,2026-03-30 ~ 2026-04-12
狂欢季必看❗️29天即可毕业，快速拿到毕业礼,一块融化的冰,https://www.bilibili.com/video/BV1zJD5BYEbb,196013,66248,10812,16.32%,2026-03-30 ~ 2026-04-12
洛克王国和光遇玩家都绷不住了,会是清羽,https://www.bilibili.com/video/BV1FVDcBcE6H,16,64977,3455,5.32%,2026-03-30 ~ 2026-04-12
践踏他们！就没有光遇仿拍不了的,阿翠鸟,https://www.bilibili.com/video/BV1JQDkBLEih,76270,64370,8221,12.77%,2026-03-30 ~ 2026-04-12
光遇自制剧《一分二十七秒》预告片“一分二十七秒前，是幸福的起点一分二十七秒后，是悲剧的开端”,一只刀子晚,https://www.bilibili.com/video/BV13iXKBqE6p,399088,64098,9356,14.60%,2026-03-30 ~ 2026-04-12
光遇自制短剧《一分二十七秒》第一集,一只刀子晚,https://www.bilibili.com/video/BV1Q7D4BpEHC,400134,61587,9965,16.18%,2026-03-30 ~ 2026-04-12
玩光遇和三角洲的都沉默了,SKY陈正正,https://www.bilibili.com/video/BV1i6XvB4EXC,9010,59633,9130,15.31%,2026-03-30 ~ 2026-04-12
超绝蓝氛围红玫瑰打卡教程来了！！,阿翠鸟,https://www.bilibili.com/video/BV1tMXQBWEAT,75950,58201,11532,19.81%,2026-03-30 ~ 2026-04-12
什么是光之逆子？,临渊思绪缭乱,https://www.bilibili.com/video/BV1VQDVBXEYS,3970,57619,3282,5.70%,2026-03-30 ~ 2026-04-12
你可以和我做朋友吗？,Sky布谷鱼,https://www.bilibili.com/video/BV1TRQBBDEh8,99097,56881,4138,7.27%,2026-03-30 ~ 2026-04-12
集体复刻蜡烛有救了⚡30分钟跑21根蜡烛攻略，全图大蜡收集路线,一块融化的冰,https://www.bilibili.com/video/BV1JqXqBMEKs,195437,53128,10720,20.18%,2026-03-30 ~ 2026-04-12
比单纯跑图好玩！既给蜡烛又给魔法的,临渊思绪缭乱,https://www.bilibili.com/video/BV1XR93BXEWQ,3929,51059,318,0.62%,2026-03-30 ~ 2026-04-12
《我的系统好像有问题》怎么一进修仙世界就被追杀！！,Sky陌_高质量博主,https://www.bilibili.com/video/BV12e97BhEoD,49134,50838,4829,9.50%,2026-03-30 ~ 2026-04-12
光遇开图的几种方式 无翼绕过晨岛的小金人的详细攻略,临渊思绪缭乱,https://www.bilibili.com/video/BV1W5X6BSE7A,3930,49944,2204,4.41%,2026-03-30 ~ 2026-04-12
“这个诗人有点梗！”,sky星星剧组,https://www.bilibili.com/video/BV1biXfB7Eor,5024,49670,5725,11.53%,2026-03-30 ~ 2026-04-12
萌新必看❗️光遇避坑指南，这些坑你一定踩过,一块融化的冰,https://www.bilibili.com/video/BV115QwBGENS,196505,48467,3447,7.11%,2026-03-30 ~ 2026-04-12
继上回前任挑战的惩罚,芋宁BoBo奶昔,https://www.bilibili.com/video/BV1UvPSzjE1x,7028,47305,2270,4.80%,2026-03-30 ~ 2026-04-12
我们三个真的没办法在一起了吗？,冥王P,https://www.bilibili.com/video/BV1YMX5BZEkr,201483,46494,9592,20.63%,2026-03-30 ~ 2026-04-12
你不再孤苦0仃，你有1可靠了！,冥王P,https://www.bilibili.com/video/BV1mYAEzWE2P,201483,44419,6640,14.95%,2026-03-30 ~ 2026-04-12
巫师护犊子这块./,sky光遇阿渔,https://www.bilibili.com/video/BV1hWNMzqETN,207839,44066,2894,6.57%,2026-03-30 ~ 2026-04-12
误闯天家🤡,sky酒川,https://www.bilibili.com/video/BV1s7XkBxEWA,33397,43750,1116,2.55%,2026-03-30 ~ 2026-04-12
